"year","tariff_events","ad_cvd","mfn_rate","wto_trade_weighted","wto_preferential_rate","effective_tariffs","dutiable_rate","duty_free_share","tariff_policy","active_unilateral_economic_sanctions","new_unilateral_economic_sanctions","mult_economic_sanctions_rate","active_trade_agreements","signed_trade_agreements","finished_trade_agreements","active_wto_disputes","new_wto_complainant","new_wto_respondent","wto_success","wto_stagnation","igo_accession","igo_withdrawals","igo_participation","igo_contributions","un_payable_contributions","un_contributions","un_pending_contributions","foreign_assistance_budget","international_development_budget","usaid_budget","foreign_assistance_share","foreign_aid_stance","collective_security_conditioning","interstate_conflict_count","crises_involvement","wpr_count","deployments_abroad","deployments_abroad_coordination","peacekeeping_active","peacekeeping_rate","peacekeeping_contributions","force_willingness","int_law_respect","int_trib_attitude","v2x_libdem","v2x_polyarchy","fh_fiw_score","v2xlg_legcon","v2x_jucon","v2x_rule","v2x_civlib","fh_civlib","fh_polrights","v2psoppaut","democracy_aid","drl_budget","ned_allocations","democracy_objective","alliance_transactionalism","ally_tone","authoritarian_legitimation","un_libdem_alignment","un_auth_alignment","liberal_internationalism","mult_attitude"
1993,NA,NA,NA,NA,NA,0.0319,0.0521,0.3875,-0.0987,8,59,0.280487804878049,19,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,549454604,289062441,260392163,12481,6990,NA,0.00846552305347571,-0.0341,0.0578,0,1.26666666666667,4,10,0.6,5,0.3125,NA,-0.0963,-0.049,-0.1627,0.805,0.867,NA,0.93,0.944,0.978,0.947,NA,NA,3.225,NA,NA,30000000,-0.0242,0.293,-0.0633,0.0715,0.575682382133995,0.267750961874781,0.081,-0.0819
1994,NA,NA,NA,NA,NA,0.0302,0.0527,0.428,-0.2201,12,23,0,27,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,558652575,310800851,247851724,12229,7698,NA,0.00799696574363803,-0.0648,0.2184,0,1.80952380952381,9,10,1,7,0.411764705882353,NA,-0.0056,0.0797,-0.1245,0.806,0.867,NA,0.93,0.944,0.978,0.947,NA,NA,3.225,NA,NA,35000000,-0.0389,-8e-04,-0.1253,-0.0055,0.601043643263757,0.294698142414861,-0.0658,-0.0771
1995,47,139,NA,NA,NA,0.0251,0.0496,0.4929,-0.183,13,49,0,26,3,NA,12,8,4,0.666666666666667,0.0833333333333333,NA,NA,NA,NA,564553923,150130049,414423874,12286,7660,NA,0.00797972010576409,0.0338,0.2272,0,1.36666666666667,4,7,1,7,0.4375,NA,-0.097,0.0417,-0.0947,0.808,0.868,NA,0.935,0.944,0.978,0.947,NA,NA,3.225,NA,NA,34000000,-0.0069,-0.0154,-0.0665,-0.0578,0.52741935483871,0.252678571428571,-0.0405,0.0288
1996,46,153,5.1340902234482,3.71824682061008,NA,0.0228,0.0458,0.5024,-0.221,18,99,0,30,1,NA,33,15,8,0.3,0.304347826086957,NA,NA,NA,NA,735815947,359040601,376775346,11122,6084,NA,0.00703518414382593,0.1379,-0.1107,0,1.41666666666667,4,7,0.571428571428571,8,0.470588235294118,NA,-0.081,0.0031,-0.1475,0.808,0.869,NA,0.935,0.944,0.978,0.947,NA,NA,3.225,NA,NA,30000000,0.0566,-0.0791,-0.0975,0.0798,0.595975232198142,0.306941923774955,-0.0559,-2e-04
1997,62,412,4.8510994109663,3.96129842441898,1.97209723557905,0.0214,0.0444,0.5188,-0.1874,21,60,0.117647058823529,34,2,NA,57,17,10,0.5,0.333333333333333,NA,NA,NA,NA,688825630,315585677,373239953,11104,5945,NA,0.00675928214280931,-0.0818,0.0222,0,2.16666666666667,4,6,0.333333333333333,8,0.533333333333333,NA,-0.1621,0.0306,-0.1392,0.811,0.871,NA,0.935,0.944,0.978,0.947,NA,NA,3.225,NA,NA,30000000,-0.0659,-0.1516,-0.0936,-0.0225,0.556406124093473,0.269814090019569,-0.1004,-0.1197
1998,44,462,4.46336326173379,3.31395418772596,1.73747970550743,0.0201,0.0464,0.5661,-0.1988,25,49,0.0925925925925926,35,3,NA,66,13,7,0.6,0.35,NA,NA,NA,NA,670967209,355262548,315704661,12546,7174,NA,0.00741422756348129,-0.0305,0.0202,0,1.56060606060606,5,8,0.375,7,0.4375,NA,-0.0966,0.0014,-0.0444,0.81,0.871,NA,0.935,0.944,0.978,0.947,NA,NA,3.225,NA,NA,30000000,0.0025,-0.0266,-0.1101,-0.0561,0.524976657329599,0.247947454844007,-0.0462,-0.067
1999,39,675,4.17820453574731,3.06713257680024,1.62790986855944,0.0181,0.0496,0.6341,-0.0877,25,9,0.307692307692308,39,6,NA,70,7,10,0.285714285714286,0.294117647058824,NA,NA,NA,NA,620100216,452203605,167896611,14843,8974,NA,0.00835444035437281,0.0205,0.3315,1,1.7037037037037,5,10,0.9,8,0.421052631578947,NA,0.1683,0.1718,-0.0489,0.808,0.868,NA,0.935,0.944,0.978,0.947,NA,NA,3.225,NA,NA,31000000,0.0421,0.0667,0.0148,-0.0388,0.537896825396825,0.25,0.047,-0.0352
2000,25,650,3.9366592631443,2.75058139442761,1.5334602091511,0.0164,0.0476,0.6559,-0.1401,23,18,0.28,40,2,NA,87,8,11,0.526315789473684,0.368421052631579,NA,NA,NA,NA,468206202,303576746,164629456,14502,6739,NA,0.00794686744809219,-0.041,0.0126,0,1.06666666666667,3,8,0.875,7,0.4375,NA,-0.1292,-0.0358,-0.0736,0.808,0.867,NA,0.935,0.954,0.98,0.948,NA,NA,3.225,NA,NA,30872000,-7e-04,0.1988,-0.0431,0.0469,0.526143790849673,0.258244206773619,-0.053,-0.1794
2001,47,582,3.94128309061971,2.89650851055773,1.93391903829046,0.0164,0.0491,0.6655,-0.222,24,30,0.25,48,2,NA,82,1,6,0.826086956521739,0.571428571428571,NA,NA,NA,869917000,431573383,297178107,165423794,14783,8124,7201,0.00754669398852707,-0.035,0.287,1,1.4,2,8,0.75,8,0.5,844139000,0.1198,0.1845,0.25,0.769,0.828,NA,0.94,0.949,0.979,0.946,NA,NA,3.225,1812,NA,30931000,0.0488,-0.0551,-0.0018,0.1561,0.487745098039216,0.194741532976827,-0.074,0.0945
2002,60,605,3.88658781818524,2.86849551476395,1.88088816289547,0.0165,0.0487,0.6605,-0.107,21,5,0.915254237288136,55,7,NA,86,4,19,0.545454545454545,0.173913043478261,21,18,399,899206000,448500115,258168464,190331651,14639,7712,8834,0.00700426600421433,-0.0566,0.1356,1,1.05882352941176,1,12,0.75,7,0.466666666666667,824967000,-0.0453,0.2139,0.4564,0.769,0.829,92,0.94,0.949,0.979,0.934,55,37,3.225,1181,NA,33500000,0.0389,-0.2433,0.1014,0.0281,0.434294871794872,0.172227443609023,-0.0814,0.2147
